"value","cumul_area","fires","prop","year"
2245.76,5582940,1,0.658403939806982,"2012-2013"
2284.48,5598931.36,7,0.660289823306871,"2012-2013"
2303.84,5605842.88,3,0.661104908548349,"2012-2013"
2323.2,5608166.08,1,0.661378886780779,"2012-2013"
2342.56,5619878.88,5,0.66276019370261,"2012-2013"
2361.92,5629326.56,4,0.663874371847823,"2012-2013"
2381.28,5631707.84,1,0.664155199536064,"2012-2013"
2400.64,5643711.04,5,0.665570753736949,"2012-2013"
2420,5653391.04,4,0.666712329705405,"2012-2013"
2458.72,5655849.76,1,0.667002290001393,"2012-2013"
2478.08,5668240.16,5,0.668463507241016,"2012-2013"
2497.44,5683224.8,6,0.670230666840186,"2012-2013"
2516.8,5690775.2,3,0.671121096095582,"2012-2013"
2536.16,5703456,5,0.672616560614259,"2012-2013"
2555.52,5708567.04,2,0.673219312725604,"2012-2013"
2574.88,5718866.56,4,0.674433949556041,"2012-2013"
2594.24,5724055.04,2,0.675045834275134,"2012-2013"
2613.6,5737123.04,5,0.676586961832549,"2012-2013"
2632.96,5739756,1,0.676897470495969,"2012-2013"
2652.32,5742408.32,1,0.677210262311326,"2012-2013"
2671.68,5750423.36,3,0.678155487213208,"2012-2013"
2691.04,5758496.48,3,0.6791075615709,"2012-2013"
2710.4,5761206.88,1,0.679427202842067,"2012-2013"
2729.76,5766666.4,2,0.680071051688277,"2012-2013"
2749.12,5769415.52,1,0.680395259263318,"2012-2013"
2807.2,5777837.12,3,0.681388430355875,"2012-2013"
2826.56,5783490.24,2,0.682055110721453,"2012-2013"
2845.92,5800565.76,6,0.684068850729809,"2012-2013"
2884.64,5817873.6,6,0.686109988561409,"2012-2013"
2904,5826585.6,3,0.687137406933019,"2012-2013"
2923.36,5832432.32,2,0.687826918817967,"2012-2013"
2962.08,5838356.48,2,0.688525563310662,"2012-2013"
2981.44,5844319.36,2,0.68922877410723,"2012-2013"
3000.8,5853321.76,3,0.690290439757895,"2012-2013"
3020.16,5859362.08,2,0.691002783162211,"2012-2013"
3039.52,5883678.24,8,0.693870421994973,"2012-2013"
3058.88,5889796,2,0.694591898007037,"2012-2013"
3078.24,5899030.72,3,0.695680961480944,"2012-2013"
3097.6,5911421.12,4,0.697142178720567,"2012-2013"
3116.96,5917655.04,2,0.697877353644253,"2012-2013"
3136.32,5927064,3,0.698986965485592,"2012-2013"
3175.04,5933414.08,2,0.699735839320899,"2012-2013"
3194.4,5936608.48,1,0.70011255939049,"2012-2013"
3213.76,5943036,2,0.700870565833544,"2012-2013"
3233.12,5949502.24,2,0.701633138580473,"2012-2013"
3252.48,5956007.2,2,0.702400277631276,"2012-2013"
3271.84,5959279.04,1,0.702786130308614,"2012-2013"
3291.2,5965861.44,2,0.703562401967164,"2012-2013"
3329.92,5969191.36,1,0.703955104100312,"2012-2013"
3349.28,5975889.92,2,0.704745074670484,"2012-2013"
3368.64,5982627.2,2,0.705539611544529,"2012-2013"
3388,5989403.2,2,0.706338714722449,"2012-2013"
3407.36,5992810.56,1,0.706740549463345,"2012-2013"
3446.08,5999702.72,2,0.707553351552886,"2012-2013"
3465.44,6013564.48,4,0.709188088339715,"2012-2013"
3484.8,6017049.28,1,0.709599055688359,"2012-2013"
3542.88,6024135.04,2,0.710434689297269,"2012-2013"
3562.24,6027697.28,1,0.71085478925366,"2012-2013"
3581.6,6034860.48,2,0.711699555470318,"2012-2013"
3600.96,6045663.36,3,0.712973554251115,"2012-2013"
3620.32,6056524.32,3,0.714254402487722,"2012-2013"
3659.04,6071160.48,4,0.715980465352028,"2012-2013"
3678.4,6078517.28,2,0.716848063088054,"2012-2013"
3697.76,6082215.04,1,0.717284145108004,"2012-2013"
3717.12,6085932.16,1,0.717722510279892,"2012-2013"
3736.48,6093405.12,2,0.71860380692754,"2012-2013"
3755.84,6100916.8,2,0.719489669879061,"2012-2013"
3775.2,6104692,1,0.719934884506759,"2012-2013"
3794.56,6108486.56,1,0.720382382286394,"2012-2013"
3813.92,6116114.4,2,0.721281944149537,"2012-2013"
3833.28,6123780.96,2,0.722186072316554,"2012-2013"
3852.64,6127633.6,1,0.722640419552,"2012-2013"
3872,6135377.6,2,0.723553680326765,"2012-2013"
3930.08,6139307.68,1,0.724017160169958,"2012-2013"
3968.8,6143276.48,1,0.724485206317025,"2012-2013"
3988.16,6147264.64,1,0.724955535616029,"2012-2013"
4007.52,6155279.68,2,0.72590076051791,"2012-2013"
